,Step,Value,SValue
0,0,556.1771240234375,556.1771240234375
1,50,707.3296508789062,578.8500030517578
2,100,720.673095703125,600.1234669494629
3,150,864.4179077148438,639.7676330642701
4,200,741.9169311523438,655.0900277774812
5,250,1078.5762939453123,718.6129677026559
6,300,650.1528930664062,708.3439565072184
7,350,1024.6646728515623,755.79206395887
8,400,1207.9736328125,823.6192992869145
9,450,1125.1519775390623,868.8492010247367
10,500,810.04833984375,860.0290718475887
11,550,807.2395629882812,852.1106455186925
12,600,1047.6185302734377,881.4368282319043
13,650,908.9107666015624,885.557918987353
14,700,882.4964599609375,885.0987001333907
15,750,1045.3145751953123,909.1310813926789
16,800,1119.1102294921877,940.6279536076051
17,850,1134.642333984375,969.7301106641206
18,900,1080.5855712890623,986.3584297578618
19,950,1257.7603759765625,1027.068721690667
20,1000,1089.291015625,1036.4020657808169
21,1050,1109.01513671875,1047.294026421507
22,1100,1147.301513671875,1062.2951495090622
23,1150,1254.650146484375,1091.148399055359
24,1200,1304.71240234375,1123.1829995486178
25,1250,1048.1756591796877,1111.9318984932784
26,1300,1080.6512451171877,1107.2398004868649
27,1350,1166.3128662109375,1116.1007603454757
28,1400,1128.4193115234375,1117.9485430221698
29,1450,1220.05517578125,1133.264537936032
30,1500,1110.2164306640623,1129.8073218452364
31,1550,1253.5062255859375,1148.3621574063416
32,1600,1120.384765625,1144.1655486391403
33,1650,1065.018798828125,1132.293536167488
34,1700,884.310302734375,1095.0960511525209
35,1750,995.7335815429688,1080.191680711088
36,1800,1025.389404296875,1071.9713392489562
37,1850,1203.0576171875,1091.634280939738
38,1900,1235.1236572265625,1113.1576873827617
39,1950,1285.3028564453125,1138.9794627421443
40,2000,1181.3304443359375,1145.3321099812133
41,2050,1026.1112060546877,1127.4489743922345
42,2100,1203.523193359375,1138.8601072373056
43,2150,1185.5050048828125,1145.8568418841317
44,2200,1170.9686279296875,1149.623609790965
45,2250,1225.7020263671875,1161.0353722773984
46,2300,1287.5806884765625,1180.017169707273
47,2350,1222.93359375,1186.454633313682
48,2400,1309.24169921875,1204.8726931994422
49,2450,1259.4910888671875,1213.065452549604
50,2500,1278.978515625,1222.9524120109136
51,2550,1360.22119140625,1243.5427289202141
52,2600,1225.54296875,1240.8427648946822
53,2650,1263.8419189453125,1244.2926380022768
54,2700,1279.2769775390625,1249.5402889327947
55,2750,1227.4730224609375,1246.2301989620162
56,2800,1232.8408203125,1244.2217921645888
57,2850,1281.430419921875,1249.8030863281815
58,2900,1244.374267578125,1248.9887635156729
59,2950,1259.525390625,1250.569257582072
60,3000,1223.9725341796875,1246.579749071714
61,3050,1330.3209228515625,1259.1409251386913
62,3100,1389.178466796875,1278.6465563874187
63,3150,1301.47900390625,1282.0714235152434
64,3200,1299.7564697265625,1284.7241804469413
65,3250,1236.087158203125,1277.4286271103688
66,3300,1323.2843017578125,1284.3069783074852
67,3350,1297.0799560546875,1286.2229249695654
68,3400,1318.5467529296875,1291.0714991635837
69,3450,1278.637939453125,1289.2064652070148
70,3500,1292.00439453125,1289.62615460565
71,3550,1343.471435546875,1297.7029467468337
72,3600,1268.42919921875,1293.3118846176212
73,3650,1268.0928955078125,1289.52903625115
74,3700,1294.637451171875,1290.2952984892588
75,3750,1317.405517578125,1294.3618313525888
76,3800,1267.51611328125,1290.334973641888
77,3850,1318.0887451171875,1294.4980393631827
78,3900,1283.2138671875,1292.8054135368302
79,3950,1273.1474609375,1289.8567206469306
80,4000,1353.314697265625,1299.3754171397347
81,4050,1297.5621337890625,1299.103424637134
82,4100,1273.2874755859375,1295.2310322794544
83,4150,1288.7059326171875,1294.2522673301144
84,4200,1303.4913330078125,1295.638127181769
85,4250,1354.8155517578125,1304.5147408681755
86,4300,1256.708984375,1297.3438773941991
87,4350,1284.860107421875,1295.4713118983505
88,4400,1242.1822509765625,1287.4779527600824
89,4450,1261.90380859375,1283.6418311351326
90,4500,1304.1837158203125,1286.7231138379098
91,4550,1353.135986328125,1296.685044711442
92,4600,1343.244873046875,1303.669018961757
93,4650,1283.48388671875,1300.6412491253059
94,4700,1229.5546875,1289.97826488151
95,4750,1245.2003173828125,1283.2615727567054
96,4800,1312.5816650390625,1287.659586599059
97,4850,1234.954345703125,1279.7538004646688
98,4900,1317.7308349609375,1285.4503556391091
99,4950,1297.4228515625,1287.246230027618
100,5000,1291.777099609375,1287.9258604648817
101,5050,1238.79248046875,1280.555853465462
102,5100,1271.727783203125,1279.2316429261114
103,5150,1278.637939453125,1279.1425874051636
104,5200,1293.3980712890625,1281.2809099877484
105,5250,1279.3450927734375,1280.9905374056018
106,5300,1267.736572265625,1279.0024426346054
107,5350,1248.659912109375,1274.451063055821
108,5400,1266.8089599609375,1273.3047475915882
109,5450,1268.088623046875,1272.5223289098813
110,5500,1274.4515380859375,1272.8117102862898
111,5550,1268.42919921875,1272.1543336261589
112,5600,1286.96923828125,1274.3765693244227
113,5650,1262.4581298828125,1272.5888034081813
114,5700,1288.79345703125,1275.0195014516416
115,5750,1337.55224609375,1284.399413147958
116,5800,1307.1588134765625,1287.8133231972488
117,5850,1274.109619140625,1285.7577675887553
118,5900,1268.912109375,1283.230918856692
119,5950,1297.0379638671875,1285.3019756082663
120,6000,1257.76513671875,1281.171449774839
121,6050,1269.521240234375,1279.4239183437694
122,6100,1243.941650390625,1274.1015781507976
123,6150,1268.4544677734375,1273.2545115941934
124,6200,1270.72216796875,1272.8746600503769
125,6250,1293.649169921875,1275.9908365311014
126,6300,1349.9422607421875,1287.0835501627644
127,6350,1283.099853515625,1286.4859956656933
128,6400,1357.548095703125,1297.145310671308
129,6450,1292.3450927734375,1296.4252779866274
130,6500,1238.427490234375,1287.7256098237895
131,6550,1272.1846923828125,1285.394472207643
132,6600,1317.79443359375,1290.2544664155591
133,6650,1284.178955078125,1289.3431397149438
134,6700,1298.2550048828125,1290.6799194901241
135,6750,1348.091552734375,1299.2916644767618
136,6800,1273.232421875,1295.3827780864974
137,6850,1332.4935302734375,1300.9493909145385
138,6900,1323.49609375,1304.3313963398577
139,6950,1307.58740234375,1304.8197972404416
140,7000,1303.8753662109375,1304.678132586016
141,7050,1248.49462890625,1296.250607034051
142,7100,1273.373291015625,1292.819009631287
143,7150,1291.455810546875,1292.614529768625
144,7200,1258.7034912109375,1287.5278739849718
145,7250,1297.9747314453125,1289.0949026040228
146,7300,1324.17578125,1294.3570344009195
147,7350,1304.0867919921875,1295.8164980396095
148,7400,1264.38232421875,1291.1013719664807
149,7450,1308.724365234375,1293.7448209566649
150,7500,1308.462890625,1295.952531406915
151,7550,1279.0941162109375,1293.4237691275184
152,7600,1263.053466796875,1288.868223777922
153,7650,1314.001708984375,1292.63824655889
154,7700,1332.867431640625,1298.6726243211501
155,7750,1337.6427001953125,1304.5181357022743
156,7800,1264.1265869140625,1298.4594033840426
157,7850,1269.3927001953125,1294.099397905733
158,7900,1358.767333984375,1303.7995883175292
159,7950,1292.3885498046875,1302.087932540603
160,8000,1288.9996337890625,1300.124687727872
161,8050,1284.216796875,1297.738504099941
162,8100,1286.9700927734375,1296.1232424009654
163,8150,1307.2452392578125,1297.7915419294923
164,8200,1257.78955078125,1291.791243257256
165,8250,1318.5460205078125,1295.8044598448394
166,8300,1256.143310546875,1289.8552874501447
167,8350,1309.770263671875,1292.842533883404
168,8400,1256.6002197265625,1287.4061867598778
169,8450,1298.0015869140625,1288.9954967830054
170,8500,1327.4056396484375,1294.7570182128202
171,8550,1318.1787109375,1298.270272121522
172,8600,1349.7655029296875,1305.994556742747
173,8650,1243.485595703125,1296.6182125868036
174,8700,1298.1163330078125,1296.8429306499547
175,8750,1277.724853515625,1293.9752190798054
176,8800,1297.9417724609375,1294.570202086975
177,8850,1323.223876953125,1298.8682533168976
178,8900,1297.3785400390625,1298.6447963252224
179,8950,1272.55126953125,1294.7307673061266
180,9000,1342.5615234375,1301.9053807258326
181,9050,1323.1416015625,1305.0908138513328
182,9100,1239.2242431640625,1295.2108282482423
183,9150,1279.4852294921875,1292.8519884348339
184,9200,1314.1553955078125,1296.0474994957806
185,9250,1263.0687255859375,1291.100683409304
186,9300,1304.72265625,1293.1439793354084
187,9350,1308.239990234375,1295.4083809702533
188,9400,1348.55859375,1303.3809128872153
189,9450,1218.9736328125,1290.719820876008
190,9500,1249.343505859375,1284.5133736235132
191,9550,1332.5806884765625,1291.7234708514707
192,9600,1263.3948974609375,1287.4741848428907
193,9650,1292.94189453125,1288.2943412961447
194,9700,1298.2464599609375,1289.7871590958637
195,9750,1301.981201171875,1291.6162654072652
196,9800,1307.8428955078125,1294.0502599223473
197,9850,1273.9442138671875,1291.0343530140733
198,9900,1288.0377197265625,1290.5848580209467
199,9950,1243.941650390625,1283.5883768763983
200,10000,1343.513427734375,1292.5771345050948
201,10050,1235.52001953125,1284.018567259018
202,10100,1281.795654296875,1283.6851303146966
203,10150,1298.823486328125,1285.955883716711
204,10200,1269.5472412109375,1283.494587340845
205,10250,1294.7030029296875,1285.1758496791715
206,10300,1259.41064453125,1281.3110689069833
207,10350,1244.7652587890625,1275.8291973892954
208,10400,1227.42041015625,1268.5678793043385
209,10450,1303.67333984375,1273.8336983852503
210,10500,1294.47119140625,1276.9293223384002
211,10550,1273.75732421875,1276.4535226204525
212,10600,1263.7630615234375,1274.5499534559003
213,10650,1260.4053955078125,1272.4282697636872
214,10700,1265.5040283203125,1271.389633547181
215,10750,1292.826416015625,1274.6051509174474
216,10800,1229.0667724609375,1267.774394148971
217,10850,1236.0802001953125,1263.0202650559222
218,10900,1320.1844482421875,1271.594892533862
219,10950,1216.06689453125,1263.2656928334702
220,11000,1216.383056640625,1256.2332974045435
221,11050,1308.1114501953125,1264.0150203231588
222,11100,1272.6644287109375,1265.3124315813257
223,11150,1258.386474609375,1264.2735380355332
224,11200,1248.4217529296875,1261.8957702696564
225,11250,1274.1898193359375,1263.7398776295986
226,11300,1303.7606201171875,1269.742989002737
227,11350,1262.5972900390625,1268.6711341581859
228,11400,1288.6156005859375,1271.6628041223485
229,11450,1289.69384765625,1274.3674606524337
230,11500,1297.787109375,1277.8804079608187
231,11550,1267.973876953125,1276.3944283096648
232,11600,1313.9534912109375,1282.0282877448558
233,11650,1237.9454345703125,1275.4158597686742
234,11700,1262.24609375,1273.440394865873
235,11750,1233.25390625,1267.412421573492
236,11800,1277.2191162109375,1268.883425769109
237,11850,1323.9384765625,1277.1416833881176
238,11900,1237.4892578125,1271.193819551775
239,11950,1271.648193359375,1271.261975622915
240,12000,1298.3848876953125,1275.3304124337747
241,12050,1312.1202392578125,1280.8488864573803
242,12100,1310.65185546875,1285.3193318090857
243,12150,1286.145751953125,1285.4432948306917
244,12200,1312.4195556640625,1289.4897339556974
245,12250,1287.810302734375,1289.237819272499
246,12300,1245.562744140625,1282.686558002718
247,12350,1279.2335205078125,1282.168602378482
248,12400,1259.91650390625,1278.8307876076474
249,12450,1249.8883056640625,1274.4894153161097
250,12500,1338.4111328125,1284.0776729405682
251,12550,1326.9493408203125,1290.5084231225298
252,12600,1274.9329833984375,1288.172107163916
253,12650,1245.221435546875,1281.72950642136
254,12700,1282.190673828125,1281.7986815323748
255,12750,1307.6300048828125,1285.6733800349405
256,12800,1273.1214599609375,1283.79059202384
257,12850,1323.5897216796875,1289.7604614722172
258,12900,1284.7705078125,1289.0119684232595
259,12950,1312.4195556640625,1292.5231065093799
260,13000,1332.9757080078125,1298.590996734145
261,13050,1293.8795166015625,1297.8842747142576
262,13100,1306.42236328125,1299.1649879993065
263,13150,1282.873291015625,1296.7212334517544
264,13200,1278.637939453125,1294.00873935196
265,13250,1318.5946044921875,1297.6966191229942
266,13300,1298.0,1297.7421262545452
267,13350,1298.6114501953125,1297.8725248456603
268,13400,1299.97998046875,1298.1886431891237
269,13450,1302.9378662109375,1298.901026642396
270,13500,1309.39111328125,1300.474539638224
271,13550,1311.48046875,1302.1254290049906
272,13600,1247.8111572265625,1293.9782882382262
273,13650,1291.6370849609375,1293.6271077466329
274,13700,1253.212890625,1287.5649751783878
275,13750,1298.000732421875,1289.130338764911
276,13800,1260.854248046875,1284.8889251572054
277,13850,1297.9755859375,1286.8519242742495
278,13900,1282.18994140625,1286.1526268440496
279,13950,1327.064208984375,1292.2893641650983
280,14000,1273.463623046875,1289.4655029973646
281,14050,1243.8284912109375,1282.6199512294006
282,14100,1312.760986328125,1287.1411064942095
283,14150,1292.94189453125,1288.0112246997655
284,14200,1292.7298583984375,1288.7190197545665
285,14250,1238.7689208984375,1281.226504926147
286,14300,1283.6715087890625,1281.5932555055845
287,14350,1247.5587158203125,1276.4880745527937
288,14400,1293.18603515625,1278.992768643312
289,14450,1239.5916748046875,1273.0826045675183
290,14500,1293.4249267578125,1276.1339528960625
291,14550,1308.79345703125,1281.0328785163406
292,14600,1262.115234375,1278.1952318951394
293,14650,1273.3487548828125,1277.4682603432902
294,14700,1243.1441650390625,1272.319646047656
295,14750,1288.87109375,1274.8023632030076
296,14800,1252.1353759765625,1271.4023151190408
297,14850,1353.56298828125,1283.7264160933723
298,14900,1264.1312255859375,1280.7871375172572
299,14950,1327.0494384765625,1287.7264826611529
300,15000,1277.814453125,1286.23967823073
301,15050,1253.3023681640625,1281.29908172073
