nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2021-12-14 13:31:55.919765: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  9
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient011/PPO_ActionList_gym_cancer:CancerControl-v0_patient011_log_9.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011-m1-0.5-m2-3_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-14 13:32:01
============================================================================================
Updates : 0 		 SurvivalMonths : 41.5 		 Average Reward : -391.13
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient011/final/patient011-m1-0.5-m2-3_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:04
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 42.5 		 Average Reward : -442.0
Updates : 4 		 SurvivalMonths : 24.0 		 Average Reward : -498.56
Updates : 6 		 SurvivalMonths : 25.0 		 Average Reward : -811.71
Updates : 8 		 SurvivalMonths : 40.0 		 Average Reward : -1147.31
Updates : 10 		 SurvivalMonths : 26.5 		 Average Reward : -466.22
Updates : 12 		 SurvivalMonths : 40.0 		 Average Reward : -1187.38
Updates : 14 		 SurvivalMonths : 33.5 		 Average Reward : -400.26
Updates : 16 		 SurvivalMonths : 19.0 		 Average Reward : 162.07
Updates : 18 		 SurvivalMonths : 37.5 		 Average Reward : -461.56
Updates : 20 		 SurvivalMonths : 38.0 		 Average Reward : -735.36
Updates : 22 		 SurvivalMonths : 39.0 		 Average Reward : -1167.63
Updates : 24 		 SurvivalMonths : 39.0 		 Average Reward : -587.52
Updates : 26 		 SurvivalMonths : 28.5 		 Average Reward : 211.97
Updates : 28 		 SurvivalMonths : 28.5 		 Average Reward : -172.46
Updates : 30 		 SurvivalMonths : 30.0 		 Average Reward : -308.93
Updates : 32 		 SurvivalMonths : 29.5 		 Average Reward : -384.13
Updates : 34 		 SurvivalMonths : 41.5 		 Average Reward : -659.95
Updates : 36 		 SurvivalMonths : 40.5 		 Average Reward : -883.17
Updates : 38 		 SurvivalMonths : 25.0 		 Average Reward : -726.4
Updates : 40 		 SurvivalMonths : 32.0 		 Average Reward : -137.64
Updates : 42 		 SurvivalMonths : 33.5 		 Average Reward : 103.0
Updates : 44 		 SurvivalMonths : 28.5 		 Average Reward : -894.65
Updates : 46 		 SurvivalMonths : 36.5 		 Average Reward : -687.91
Updates : 48 		 SurvivalMonths : 37.5 		 Average Reward : -680.03
Updates : 50 		 SurvivalMonths : 41.5 		 Average Reward : -839.65
Updates : 52 		 SurvivalMonths : 19.5 		 Average Reward : 130.64
Updates : 54 		 SurvivalMonths : 40.5 		 Average Reward : -1320.2
Updates : 56 		 SurvivalMonths : 38.5 		 Average Reward : 73.07
Updates : 58 		 SurvivalMonths : 40.0 		 Average Reward : 5.16
Updates : 60 		 SurvivalMonths : 28.5 		 Average Reward : -76.82
Updates : 62 		 SurvivalMonths : 40.0 		 Average Reward : -371.84
Updates : 64 		 SurvivalMonths : 18.0 		 Average Reward : 98.06
Updates : 66 		 SurvivalMonths : 43.5 		 Average Reward : -35.98
Updates : 68 		 SurvivalMonths : 10.5 		 Average Reward : -10.15
Updates : 70 		 SurvivalMonths : 29.5 		 Average Reward : 244.91
Updates : 72 		 SurvivalMonths : 20.0 		 Average Reward : 128.9
Updates : 74 		 SurvivalMonths : 41.5 		 Average Reward : -33.62
Updates : 76 		 SurvivalMonths : 41.5 		 Average Reward : -664.76
Updates : 78 		 SurvivalMonths : 28.0 		 Average Reward : 21.65
Updates : 80 		 SurvivalMonths : 31.0 		 Average Reward : 182.01
Updates : 82 		 SurvivalMonths : 19.0 		 Average Reward : 126.06
Updates : 84 		 SurvivalMonths : 39.0 		 Average Reward : 61.62
Updates : 86 		 SurvivalMonths : 22.0 		 Average Reward : 149.08
Updates : 88 		 SurvivalMonths : 31.5 		 Average Reward : -226.03
Updates : 90 		 SurvivalMonths : 35.0 		 Average Reward : -238.91
Updates : 92 		 SurvivalMonths : 41.0 		 Average Reward : -863.83
Updates : 94 		 SurvivalMonths : 39.0 		 Average Reward : -528.69
Updates : 96 		 SurvivalMonths : 6.0 		 Average Reward : -65.91
Updates : 98 		 SurvivalMonths : 31.5 		 Average Reward : -16.12
Updates : 100 		 SurvivalMonths : 41.5 		 Average Reward : -968.11
Updates : 102 		 SurvivalMonths : 44.5 		 Average Reward : 57.64
Updates : 104 		 SurvivalMonths : 15.5 		 Average Reward : 40.65
Updates : 106 		 SurvivalMonths : 44.0 		 Average Reward : -659.7
Updates : 108 		 SurvivalMonths : 29.5 		 Average Reward : 178.61
Updates : 110 		 SurvivalMonths : 21.0 		 Average Reward : -388.85
Updates : 112 		 SurvivalMonths : 42.5 		 Average Reward : -577.97
Updates : 114 		 SurvivalMonths : 4.0 		 Average Reward : -86.85
Updates : 116 		 SurvivalMonths : 25.5 		 Average Reward : -117.71
Updates : 118 		 SurvivalMonths : 23.0 		 Average Reward : -420.68
Updates : 120 		 SurvivalMonths : 39.5 		 Average Reward : -638.54
Updates : 122 		 SurvivalMonths : 43.0 		 Average Reward : -86.98
Updates : 124 		 SurvivalMonths : 35.5 		 Average Reward : -80.05
Updates : 126 		 SurvivalMonths : 24.5 		 Average Reward : -114.45
Updates : 128 		 SurvivalMonths : 12.0 		 Average Reward : 33.33
Updates : 130 		 SurvivalMonths : 4.5 		 Average Reward : -77.57
Updates : 132 		 SurvivalMonths : 32.0 		 Average Reward : 237.91
Updates : 134 		 SurvivalMonths : 26.5 		 Average Reward : 68.96
Updates : 136 		 SurvivalMonths : 39.5 		 Average Reward : -813.48
Updates : 138 		 SurvivalMonths : 22.5 		 Average Reward : -424.66
Updates : 140 		 SurvivalMonths : 19.0 		 Average Reward : 44.31
Updates : 142 		 SurvivalMonths : 42.5 		 Average Reward : -215.65
Updates : 144 		 SurvivalMonths : 41.5 		 Average Reward : -322.57
Updates : 146 		 SurvivalMonths : 47.5 		 Average Reward : -943.89
Updates : 148 		 SurvivalMonths : 40.0 		 Average Reward : -1156.96
Updates : 150 		 SurvivalMonths : 41.0 		 Average Reward : 1.72
Updates : 152 		 SurvivalMonths : 43.0 		 Average Reward : -944.03
Updates : 154 		 SurvivalMonths : 21.0 		 Average Reward : -70.55
Updates : 156 		 SurvivalMonths : 43.0 		 Average Reward : -125.99
Updates : 158 		 SurvivalMonths : 33.0 		 Average Reward : -130.69
Updates : 160 		 SurvivalMonths : 33.5 		 Average Reward : 158.01
Updates : 162 		 SurvivalMonths : 26.5 		 Average Reward : -321.28
Updates : 164 		 SurvivalMonths : 42.0 		 Average Reward : 2.31
Updates : 166 		 SurvivalMonths : 22.0 		 Average Reward : -154.01
Updates : 168 		 SurvivalMonths : 25.0 		 Average Reward : -112.85
Updates : 170 		 SurvivalMonths : 27.0 		 Average Reward : -536.07
Updates : 172 		 SurvivalMonths : 5.0 		 Average Reward : -79.2
Updates : 174 		 SurvivalMonths : 29.0 		 Average Reward : -131.49
Updates : 176 		 SurvivalMonths : 25.5 		 Average Reward : -266.83
Updates : 178 		 SurvivalMonths : 21.5 		 Average Reward : 99.84
Updates : 180 		 SurvivalMonths : 19.0 		 Average Reward : 140.17
Updates : 182 		 SurvivalMonths : 30.0 		 Average Reward : -955.56
Updates : 184 		 SurvivalMonths : 18.5 		 Average Reward : 85.72
Updates : 186 		 SurvivalMonths : 42.5 		 Average Reward : -186.39
Updates : 188 		 SurvivalMonths : 24.0 		 Average Reward : -50.15
Updates : 190 		 SurvivalMonths : 25.0 		 Average Reward : -7.65
Updates : 192 		 SurvivalMonths : 27.5 		 Average Reward : -93.56
Updates : 194 		 SurvivalMonths : 41.5 		 Average Reward : 122.47
Updates : 196 		 SurvivalMonths : 16.0 		 Average Reward : 60.38
Updates : 198 		 SurvivalMonths : 43.0 		 Average Reward : -55.94
Updates : 200 		 SurvivalMonths : 43.0 		 Average Reward : -153.11
Updates : 202 		 SurvivalMonths : 27.0 		 Average Reward : 42.01
Updates : 204 		 SurvivalMonths : 8.0 		 Average Reward : -51.79
Updates : 206 		 SurvivalMonths : 27.0 		 Average Reward : -113.09
Updates : 208 		 SurvivalMonths : 45.5 		 Average Reward : -646.92
Updates : 210 		 SurvivalMonths : 16.5 		 Average Reward : 98.02
Updates : 212 		 SurvivalMonths : 42.5 		 Average Reward : -449.31
Updates : 214 		 SurvivalMonths : 28.0 		 Average Reward : 1.94
Updates : 216 		 SurvivalMonths : 37.0 		 Average Reward : 11.19
Updates : 218 		 SurvivalMonths : 31.5 		 Average Reward : -148.46
Updates : 220 		 SurvivalMonths : 34.5 		 Average Reward : 229.52
Updates : 222 		 SurvivalMonths : 5.5 		 Average Reward : -72.18
Updates : 224 		 SurvivalMonths : 21.5 		 Average Reward : 94.98
Updates : 226 		 SurvivalMonths : 6.5 		 Average Reward : -58.06
Updates : 228 		 SurvivalMonths : 31.0 		 Average Reward : -160.5
Updates : 230 		 SurvivalMonths : 22.5 		 Average Reward : -207.95
Updates : 232 		 SurvivalMonths : 14.5 		 Average Reward : 27.22
Updates : 234 		 SurvivalMonths : 24.0 		 Average Reward : 189.5
Updates : 236 		 SurvivalMonths : 24.5 		 Average Reward : 50.98
Updates : 238 		 SurvivalMonths : 17.0 		 Average Reward : -13.02
Updates : 240 		 SurvivalMonths : 4.5 		 Average Reward : -74.64
Updates : 242 		 SurvivalMonths : 40.5 		 Average Reward : -634.51
Updates : 244 		 SurvivalMonths : 19.5 		 Average Reward : 178.22
Updates : 246 		 SurvivalMonths : 6.0 		 Average Reward : -57.49
Updates : 248 		 SurvivalMonths : 17.5 		 Average Reward : 168.36
Updates : 250 		 SurvivalMonths : 35.5 		 Average Reward : 322.43
Updates : 252 		 SurvivalMonths : 37.5 		 Average Reward : -460.35
Updates : 254 		 SurvivalMonths : 21.5 		 Average Reward : -150.37
Updates : 256 		 SurvivalMonths : 20.0 		 Average Reward : 117.34
Updates : 258 		 SurvivalMonths : 14.0 		 Average Reward : 28.29
Updates : 260 		 SurvivalMonths : 21.0 		 Average Reward : -623.08
Updates : 262 		 SurvivalMonths : 17.5 		 Average Reward : 78.11
Updates : 264 		 SurvivalMonths : 19.0 		 Average Reward : 56.93
Updates : 266 		 SurvivalMonths : 41.0 		 Average Reward : 207.88
Updates : 268 		 SurvivalMonths : 22.0 		 Average Reward : 78.6
Updates : 270 		 SurvivalMonths : 27.0 		 Average Reward : -237.75
Updates : 272 		 SurvivalMonths : 8.5 		 Average Reward : -23.81
Updates : 274 		 SurvivalMonths : 42.5 		 Average Reward : 24.79
Updates : 276 		 SurvivalMonths : 12.5 		 Average Reward : 9.68
