nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient011
2021-12-14 15:44:50.346125: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  10
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient011/PPO_ActionList_gym_cancer:CancerControl-v0_patient011_log_10.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient011/
save checkpoint format : patient011-m1-0.5-m2-4_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.1
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-14 15:44:55
============================================================================================
Updates : 0 		 SurvivalMonths : 43.5 		 Average Reward : 524.36
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient011/final/patient011-m1-0.5-m2-4_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:08
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 32.0 		 Average Reward : 501.28
Updates : 4 		 SurvivalMonths : 43.5 		 Average Reward : 857.46
Updates : 6 		 SurvivalMonths : 43.5 		 Average Reward : 681.91
Updates : 8 		 SurvivalMonths : 44.5 		 Average Reward : 564.83
Updates : 10 		 SurvivalMonths : 44.5 		 Average Reward : 495.24
Updates : 12 		 SurvivalMonths : 45.0 		 Average Reward : 622.53
Updates : 14 		 SurvivalMonths : 44.0 		 Average Reward : 702.01
Updates : 16 		 SurvivalMonths : 44.5 		 Average Reward : 507.23
Updates : 18 		 SurvivalMonths : 41.5 		 Average Reward : 662.11
Updates : 20 		 SurvivalMonths : 28.0 		 Average Reward : 347.6
Updates : 22 		 SurvivalMonths : 45.0 		 Average Reward : 664.21
Updates : 24 		 SurvivalMonths : 48.0 		 Average Reward : 673.59
Updates : 26 		 SurvivalMonths : 37.0 		 Average Reward : 461.87
Updates : 28 		 SurvivalMonths : 39.0 		 Average Reward : 591.41
Updates : 30 		 SurvivalMonths : 43.0 		 Average Reward : 583.25
Updates : 32 		 SurvivalMonths : 43.0 		 Average Reward : 474.06
Updates : 34 		 SurvivalMonths : 43.0 		 Average Reward : 481.33
