nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient013
2021-12-03 20:27:49.673849: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  2
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient013/PPO_ActionList_gym_cancer:CancerControl-v0_patient013_log_2.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient013/
save checkpoint format : patient013_20211203-2027_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-03 20:27:57
============================================================================================
Updates : 0 		 SurvivalMonths : 59.5 		 Average Reward : -7000.2
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient013/final/patient013_20211203-2027_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:06
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 59.0 		 Average Reward : -6991.78
Updates : 4 		 SurvivalMonths : 65.5 		 Average Reward : -7973.48
Updates : 6 		 SurvivalMonths : 68.0 		 Average Reward : -3548.13
Updates : 8 		 SurvivalMonths : 62.0 		 Average Reward : -2871.91
Updates : 10 		 SurvivalMonths : 63.5 		 Average Reward : -3384.38
Updates : 12 		 SurvivalMonths : 64.5 		 Average Reward : -7924.63
Updates : 14 		 SurvivalMonths : 64.0 		 Average Reward : -7936.16
Updates : 16 		 SurvivalMonths : 57.5 		 Average Reward : -3617.94
Updates : 18 		 SurvivalMonths : 72.0 		 Average Reward : 2652.95
Updates : 20 		 SurvivalMonths : 65.5 		 Average Reward : -2291.71
Updates : 22 		 SurvivalMonths : 70.5 		 Average Reward : -7523.42
Updates : 24 		 SurvivalMonths : 57.5 		 Average Reward : -293.77
Updates : 26 		 SurvivalMonths : 56.5 		 Average Reward : -1706.49
Updates : 28 		 SurvivalMonths : 62.5 		 Average Reward : -2646.71
Updates : 30 		 SurvivalMonths : 64.0 		 Average Reward : -3113.15
Updates : 32 		 SurvivalMonths : 65.0 		 Average Reward : -3023.8
