nohup: ignoring input
============================================================================================
Remove CancerControl-v0 from registry
============================================================================================
Device set to : NVIDIA GeForce RTX 3090
============================================================================================
training environment name : gym_cancer:CancerControl-v0--patient032
2021-12-03 20:27:49.776593: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcudart.so.11.0
current logging run number for gym_cancer:CancerControl-v0 :  0
Actions are logged at : PPO_logs/gym_cancer:CancerControl-v0//patient032/PPO_ActionList_gym_cancer:CancerControl-v0_patient032_log_0.csv
save checkpoint path : PPO_preTrained/gym_cancer:CancerControl-v0/patient032/
save checkpoint format : patient032_20211203-2027_PPO_gym_cancer:CancerControl-v0_0_0.pth
--------------------------------------------------------------------------------------------
num of envs : 2
max training updating times :  100000
max timesteps per episode :  120
model saving frequency : 500 episodes
log frequency : 2 episodes
printing average reward over episodes in last : 2 episodes
--------------------------------------------------------------------------------------------
state space dimension :  7
action space dimension :  10
--------------------------------------------------------------------------------------------
Initializing a discrete action space policy
--------------------------------------------------------------------------------------------
The initial explore rate : 0.8 and initial exploit rate is : 1- 0.8
PPO update frequency : 2 episodes
PPO K epochs :  4
PPO epsilon clip :  0.2
discount factor (gamma) :  0.99
--------------------------------------------------------------------------------------------
decaying optimizer with step size :  500  decay ratio :  0.5
optimizer learning rate actor :  3e-05
optimizer learning rate critic :  0.0001
============================================================================================
Started training at (GMT) :  2021-12-03 20:27:57
============================================================================================
Updates : 0 		 SurvivalMonths : 24.5 		 Average Reward : 8.74
--------------------------------------------------------------------------------------------
saving model at : PPO_preTrained/gym_cancer:CancerControl-v0/patient032/final/patient032_20211203-2027_PPO_gym_cancer:CancerControl-v0_0_0.pth
model saved
Elapsed Time  :  0:00:03
--------------------------------------------------------------------------------------------
Updates : 2 		 SurvivalMonths : 26.5 		 Average Reward : 80.82
Updates : 4 		 SurvivalMonths : 25.0 		 Average Reward : 53.81
Updates : 6 		 SurvivalMonths : 19.0 		 Average Reward : 87.85
Updates : 8 		 SurvivalMonths : 27.0 		 Average Reward : 137.46
Updates : 10 		 SurvivalMonths : 28.0 		 Average Reward : 13.87
Updates : 12 		 SurvivalMonths : 18.0 		 Average Reward : -14.02
Updates : 14 		 SurvivalMonths : 28.0 		 Average Reward : 182.98
Updates : 16 		 SurvivalMonths : 19.5 		 Average Reward : 154.03
Updates : 18 		 SurvivalMonths : 30.0 		 Average Reward : 76.98
Updates : 20 		 SurvivalMonths : 28.5 		 Average Reward : 32.92
Updates : 22 		 SurvivalMonths : 18.5 		 Average Reward : 26.4
Updates : 24 		 SurvivalMonths : 26.0 		 Average Reward : 165.39
Updates : 26 		 SurvivalMonths : 18.0 		 Average Reward : 60.72
Updates : 28 		 SurvivalMonths : 28.0 		 Average Reward : 107.82
Updates : 30 		 SurvivalMonths : 24.0 		 Average Reward : -38.45
Updates : 32 		 SurvivalMonths : 27.5 		 Average Reward : 87.6
Updates : 34 		 SurvivalMonths : 18.5 		 Average Reward : 46.18
Updates : 36 		 SurvivalMonths : 19.5 		 Average Reward : 49.79
Updates : 38 		 SurvivalMonths : 27.0 		 Average Reward : 93.62
Updates : 40 		 SurvivalMonths : 29.5 		 Average Reward : 80.56
Updates : 42 		 SurvivalMonths : 29.5 		 Average Reward : 183.82
Updates : 44 		 SurvivalMonths : 31.0 		 Average Reward : 166.15
Updates : 46 		 SurvivalMonths : 23.0 		 Average Reward : 209.88
Updates : 48 		 SurvivalMonths : 26.5 		 Average Reward : 143.69
Updates : 50 		 SurvivalMonths : 24.0 		 Average Reward : 32.49
Updates : 52 		 SurvivalMonths : 29.5 		 Average Reward : 92.92
Updates : 54 		 SurvivalMonths : 29.0 		 Average Reward : 223.95
Updates : 56 		 SurvivalMonths : 26.0 		 Average Reward : 180.35
Updates : 58 		 SurvivalMonths : 25.0 		 Average Reward : 4.82
Updates : 60 		 SurvivalMonths : 29.0 		 Average Reward : 178.69
Updates : 62 		 SurvivalMonths : 19.0 		 Average Reward : 83.47
Updates : 64 		 SurvivalMonths : 21.5 		 Average Reward : 186.2
Updates : 66 		 SurvivalMonths : 21.0 		 Average Reward : 150.61
Updates : 68 		 SurvivalMonths : 25.0 		 Average Reward : 31.2
Updates : 70 		 SurvivalMonths : 19.0 		 Average Reward : 81.15
Updates : 72 		 SurvivalMonths : 12.5 		 Average Reward : 62.41
Updates : 74 		 SurvivalMonths : 24.5 		 Average Reward : -21.36
Updates : 76 		 SurvivalMonths : 21.0 		 Average Reward : 106.5
Updates : 78 		 SurvivalMonths : 25.0 		 Average Reward : 16.73
Updates : 80 		 SurvivalMonths : 21.5 		 Average Reward : 86.63
Updates : 82 		 SurvivalMonths : 29.5 		 Average Reward : 212.15
Updates : 84 		 SurvivalMonths : 31.0 		 Average Reward : 95.15
Updates : 86 		 SurvivalMonths : 24.5 		 Average Reward : -21.07
Updates : 88 		 SurvivalMonths : 25.5 		 Average Reward : 69.33
Updates : 90 		 SurvivalMonths : 23.5 		 Average Reward : 149.02
Updates : 92 		 SurvivalMonths : 27.0 		 Average Reward : 117.22
Updates : 94 		 SurvivalMonths : 27.0 		 Average Reward : 142.19
Updates : 96 		 SurvivalMonths : 18.0 		 Average Reward : 61.1
Updates : 98 		 SurvivalMonths : 26.0 		 Average Reward : 99.63
Updates : 100 		 SurvivalMonths : 25.0 		 Average Reward : 32.27
Updates : 102 		 SurvivalMonths : 29.5 		 Average Reward : 210.79
Updates : 104 		 SurvivalMonths : 24.5 		 Average Reward : -0.59
Updates : 106 		 SurvivalMonths : 25.0 		 Average Reward : 66.08
Updates : 108 		 SurvivalMonths : 19.5 		 Average Reward : 26.44
Updates : 110 		 SurvivalMonths : 19.5 		 Average Reward : 50.11
Updates : 112 		 SurvivalMonths : 27.5 		 Average Reward : 68.07
Updates : 114 		 SurvivalMonths : 25.0 		 Average Reward : 101.08
Updates : 116 		 SurvivalMonths : 26.5 		 Average Reward : 52.22
Updates : 118 		 SurvivalMonths : 29.0 		 Average Reward : -2.16
Updates : 120 		 SurvivalMonths : 22.0 		 Average Reward : 98.66
Updates : 122 		 SurvivalMonths : 24.0 		 Average Reward : 46.94
Updates : 124 		 SurvivalMonths : 29.0 		 Average Reward : 172.03
Updates : 126 		 SurvivalMonths : 26.5 		 Average Reward : 135.14
Updates : 128 		 SurvivalMonths : 19.5 		 Average Reward : 92.36
Updates : 130 		 SurvivalMonths : 17.5 		 Average Reward : 92.64
Updates : 132 		 SurvivalMonths : 18.0 		 Average Reward : 94.54
Updates : 134 		 SurvivalMonths : 25.0 		 Average Reward : 24.54
Updates : 136 		 SurvivalMonths : 27.0 		 Average Reward : 71.18
Updates : 138 		 SurvivalMonths : 25.0 		 Average Reward : 72.76
Updates : 140 		 SurvivalMonths : 26.5 		 Average Reward : 58.96
Updates : 142 		 SurvivalMonths : 28.0 		 Average Reward : 60.74
Updates : 144 		 SurvivalMonths : 30.5 		 Average Reward : 184.23
Updates : 146 		 SurvivalMonths : 24.5 		 Average Reward : 58.62
Updates : 148 		 SurvivalMonths : 17.5 		 Average Reward : -10.7
Updates : 150 		 SurvivalMonths : 27.0 		 Average Reward : 41.03
Updates : 152 		 SurvivalMonths : 27.0 		 Average Reward : 112.01
Updates : 154 		 SurvivalMonths : 27.5 		 Average Reward : 286.63
Updates : 156 		 SurvivalMonths : 25.0 		 Average Reward : 48.3
Updates : 158 		 SurvivalMonths : 22.5 		 Average Reward : 170.9
Updates : 160 		 SurvivalMonths : 27.0 		 Average Reward : 203.2
Updates : 162 		 SurvivalMonths : 25.5 		 Average Reward : 95.37
Updates : 164 		 SurvivalMonths : 24.5 		 Average Reward : 201.75
Updates : 166 		 SurvivalMonths : 26.0 		 Average Reward : 145.14
Updates : 168 		 SurvivalMonths : 25.0 		 Average Reward : 277.31
Updates : 170 		 SurvivalMonths : 26.0 		 Average Reward : 240.45
Updates : 172 		 SurvivalMonths : 25.5 		 Average Reward : 213.63
Updates : 174 		 SurvivalMonths : 26.0 		 Average Reward : 226.97
Updates : 176 		 SurvivalMonths : 28.0 		 Average Reward : 59.98
Updates : 178 		 SurvivalMonths : 28.0 		 Average Reward : 209.82
Updates : 180 		 SurvivalMonths : 25.5 		 Average Reward : 213.96
Updates : 182 		 SurvivalMonths : 25.5 		 Average Reward : 74.05
Updates : 184 		 SurvivalMonths : 30.5 		 Average Reward : 458.77
Updates : 186 		 SurvivalMonths : 27.0 		 Average Reward : 146.47
Updates : 188 		 SurvivalMonths : 26.5 		 Average Reward : 278.23
Updates : 190 		 SurvivalMonths : 26.5 		 Average Reward : 118.39
Updates : 192 		 SurvivalMonths : 28.0 		 Average Reward : 133.69
Updates : 194 		 SurvivalMonths : 30.5 		 Average Reward : 393.74
Updates : 196 		 SurvivalMonths : 26.5 		 Average Reward : 111.91
Updates : 198 		 SurvivalMonths : 30.5 		 Average Reward : 463.28
Updates : 200 		 SurvivalMonths : 28.5 		 Average Reward : 171.17
Updates : 202 		 SurvivalMonths : 24.5 		 Average Reward : 87.36
Updates : 204 		 SurvivalMonths : 29.5 		 Average Reward : 384.44
Updates : 206 		 SurvivalMonths : 26.0 		 Average Reward : 50.38
Updates : 208 		 SurvivalMonths : 34.5 		 Average Reward : 571.67
Updates : 210 		 SurvivalMonths : 31.0 		 Average Reward : 417.52
Updates : 212 		 SurvivalMonths : 25.5 		 Average Reward : 101.36
Updates : 214 		 SurvivalMonths : 29.5 		 Average Reward : 389.81
Updates : 216 		 SurvivalMonths : 25.0 		 Average Reward : 39.73
Updates : 218 		 SurvivalMonths : 24.0 		 Average Reward : 116.95
Updates : 220 		 SurvivalMonths : 28.5 		 Average Reward : -14.91
Updates : 222 		 SurvivalMonths : 27.0 		 Average Reward : 95.28
Updates : 224 		 SurvivalMonths : 34.0 		 Average Reward : 473.29
Updates : 226 		 SurvivalMonths : 47.5 		 Average Reward : 1216.89
Updates : 228 		 SurvivalMonths : 45.5 		 Average Reward : 1068.65
Updates : 230 		 SurvivalMonths : 36.0 		 Average Reward : 778.05
Updates : 232 		 SurvivalMonths : 24.5 		 Average Reward : 8.01
Updates : 234 		 SurvivalMonths : 27.5 		 Average Reward : 19.35
